Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Included / International,Price / International,Compare At Price / International,Status
flex-sweatpants,Flex Sweatpants,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Pants,"features, Female, Pants",true,Size,Medium,,,,,"",200.0,shopify,20,continue,manual,400.00,,true,true,"",https://online-market-place-omega.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2F5quucbm7%2Fproduction%2F2dea8195a43568e41366482ee3429131c869f979-700x745.webp%3Ffit%3Dmax%26auto%3Dformat&w=750&q=75,1,,false,,,,,,,,,,,,,,,kg,,300.00,true,true,,,active
pink-fleece-sweatpants,Pink Fleece Sweatpants,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Pants,"cross, Female, Pants",true,Size,LArge,,,,,"",100.0,shopify,15,continue,manual,375.00,,true,true,"",https://online-market-place-omega.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2F5quucbm7%2Fproduction%2F0e40115607cdde91a920f3af2db3d12dacdfb40d-700x745.webp%3Ffit%3Dmax%26auto%3Dformat&w=750&q=75,1,,false,,,,,,,,,,,,,,,kg,,300.00,true,true,,,active
lite-sweatpants,Lite Sweatpants,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Pants,"cross, Female, Pants",true,Size,Small,,,,,"",200.0,shopify,15,continue,manual,215.00,,true,true,"",https://online-market-place-omega.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2F5quucbm7%2Fproduction%2F216a70e9e80db5e5daab8452fd8812daa59927b4-700x745.webp%3Ffit%3Dmax%26auto%3Dformat&w=750&q=75,1,,false,,,,,,,,,,,,,,,kg,,200.00,true,true,,,active
lite-sweatpants,,,,,,,,,Medium,,,,,"",200.0,shopify,17,continue,manual,225.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,200.00,,,,,
lite-sweatpants,,,,,,,,,Large,,,,,"",200.0,shopify,18,continue,manual,230.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,200.00,,,,,
brushed-raglan-sweatshirt,Brushed Raglan Sweatshirt,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Sweater,"cross, Female, Sweater",true,Size,Medium,Color,Black,,,"",400.0,shopify,145,continue,manual,195.00,,true,true,"",https://online-market-place-omega.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2F5quucbm7%2Fproduction%2Ff363302f41c8bf0e17b614efab13938c5f190dc2-700x745.webp%3Ffit%3Dmax%26auto%3Dformat&w=750&q=75,1,,false,,,,,,,,,,,,,,,kg,,150.00,true,true,,,active
brushed-raglan-sweatshirt,,,,,,,,,Medium,,Blue,,,"",400.0,shopify,2,continue,manual,195.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,150.00,,,,,
brushed-raglan-sweatshirt,,,,,,,,,Large,,Black,,,"",400.0,shopify,35,continue,manual,195.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,150.00,,,,,
brushed-raglan-sweatshirt,,,,,,,,,Large,,Blue,,,"",400.0,shopify,21,continue,manual,200.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,150.00,,,,,
cameryn-sash-tie-dress,Cameryn Sash Tie Dress,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Dress,"cross, Dress, Female",true,Size,Medium,,,,,"",300.0,shopify,75,continue,manual,545.00,,true,true,"",https://online-market-place-omega.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2F5quucbm7%2Fproduction%2F8b82f0dd51225bdf500896bbe8650b86db2d7b3f-700x747.webp%3Ffit%3Dmax%26auto%3Dformat&w=750&q=75,1,,false,,,,,,,,,,,,,,,kg,,500.00,true,true,,,active
